TimeStamp Speed
1.50044532663 0.0
1.50044532764 24.2640024793
1.50044532915 25.6708445596
1.50044533066 25.5858438702
1.50044533217 25.6329544026
1.50044533368 25.561812082
1.50044533519 25.6027981368
1.5004453367 25.569822678
1.50044533821 25.6018650624
1.50044533972 25.6258968506
1.50044534123 25.6098756584
1.50044534274 25.5938544663
1.50044534425 25.5929238896
1.50044534576 25.5947862765
1.50044534727 25.5929238896
1.50044534878 25.5849226329
1.50044535029 25.6188299453
1.5004453518 25.5938544663
1.50044535331 25.5947822326
1.50044535482 25.5938544663
1.50044535633 25.6178862545
1.50044535784 25.6178862545
1.50044535935 25.6178862545
1.50044536086 25.6178862545
1.50044536237 25.6178862545
1.50044536388 25.6098756584
1.50044536539 25.5778332741
1.50044536692 22.086284487
1.50044536841 25.8447683934
1.50044536992 25.5609027149
1.50044537143 25.2226377407
1.50044537294 24.624572341
1.50044537445 34.2518797614
1.50044537496 25.25929459
1.50044537647 25.5919985795
1.50044537798 25.6358213796
1.50044537949 25.569822678
1.500445381 25.569822678
1.50044538251 25.576917338
1.50044538402 25.561812082
1.50044538553 25.6108140411
1.50044538704 18.4842231033
1.50044538855 0.0
1.50044539006 0.0
1.50044539156 0.0
